ranking,palabra_yahoo,freq_yahoo,palabra_llm,freq_llm
1,usa,4,puede,13
2,ipv,2,considera,7
3,haz,2,mejora,6
4,bits,2,direcciones,5
5,depende,2,ipv,5
6,malwarebytes,1,comida,5
7,innecesarias,1,realiza,5
8,electricidad,1,sistema,5
9,veterinario,1,seguro,4
10,presupuesto,1,tener,4
11,direcciones,1,antivirus,4
12,tutoriales,1,salud,4
13,representa,1,seguridad,4
14,obviamente,1,python,4
15,emociones,1,sue,4
16,ejercicio,1,evita,4
17,antivirus,1,estudio,4
18,limpieza,1,mejor,4
19,interior,1,consulta,3
20,dispersi,1,agua,3
21,chatarra,1,usa,3
22,animales,1,virus,3
23,youtube,1,seg,3
24,provoca,1,aumento,3
25,momento,1,archivos,3
26,funcion,1,tiempo,3
27,estudia,1,riesgo,3
28,comprar,1,lugar,3
29,tiempo,1,utiliza,3
30,revisa,1,estrategias,3
31,guarda,1,comer,3
32,gratis,1,libros,3
33,comida,1,permite,3
34,buenas,1,ayuda,3
35,aunque,1,minutos,3
36,aprend,1,porciones,3
37,afecta,1,diferentes,3
38,tener,1,peso,3
39,tambi,1,eliminar,3
40,solar,1,crea,3
41,sitio,1,embargo,3
42,salud,1,cambia,3
43,puede,1,azul,3
44,menos,1,aseg,3
45,ltimo,1,mayor,2
46,grave,1,personales,2
47,gasta,1,hace,2
48,evita,1,resistencia,2
49,energ,1,largo,2
50,dieta,1,infectados,2
